Q: http://ssd.jpl.nasa.gov/sbdb_query.cgi#x, alle Asteroiden aus dem Main-belt  mit Durchmesser größer 10 km 
name,diameter,e,a,orbital_period_in_years,albedo,period_of_rot_in_h,GM
"    43 Ariadne",65.88,.1688274651817637,2.202795164724855,3.26940990496497,0.2740,5.76218,
"    44 Nysa",70.64,.1484274306888236,2.423161423020298,3.77208718237733,0.5458,6.422,
"    45 Eugenia",214.63,.08371678728895227,2.720244437079961,4.48662837369916,0.0398,5.699,
"    46 Hestia",124.14,.1712513968216822,2.527685545281172,4.01876646536283,0.0519,21.040,
"    47 Aglaja",126.96,.1312259282405277,2.883176236413557,4.89570213967939,0.0801,13.178,
"    48 Doris",221.80,.07299487978065883,3.111116522008438,5.48760215674603,0.0624,11.89,
"    49 Pales",149.80,.227112107183608,3.092693965323395,5.4389319191111,0.0597,20.704,
"    50 Virginia",99.82,.2858680684847993,2.649338083185427,4.31235271922998,0.0357,14.315,
"    51 Nemausa",147.86,.06689246064050397,2.365787600102918,3.63891431160074,0.0928,7.783,
"    52 Europa",302.50,.1089810546504602,3.098163243594051,5.45336602421374,0.0578,5.6304,
"    53 Kalypso",115.38,.2060989863545282,2.616695589205903,4.23289997229448,0.0397,9.036,
"    54 Alexandra",165.75,.1983062335300564,2.709480748969671,4.4600251404569,0.0555,7.024,
"    55 Pandora",66.70,.1418947003080351,2.762958284952547,4.59271709461787,0.3013,4.8040,
"    56 Melete",113.24,.2373678069644654,2.596748302423412,4.18459071261828,0.0653,18.147,
"    57 Mnemosyne",112.59,.114156888104188,3.152786231676693,5.59822037032673,0.2149,12.463,
"    58 Concordia",93.43,.04318367575651154,2.699597940165662,4.43564554772988,0.0578,9.895,
"    59 Elpis",164.80,.1192889395342953,2.712622578411036,4.46778494812714,0.0438,13.69,
"    60 Echo",60.20,.1833156323191791,2.393100133603277,3.70211162033637,0.2535,25.208,
"    61 Danae",82.04,.1671443409384913,2.982084349710452,5.14977301916276,0.2224,11.45,
"    62 Erato",95.39,.1709065864942762,3.12716572062717,5.53011990003321,0.0608,9.2213,
"    63 Ausonia",103.14,.1275999404685834,2.394907929838043,3.70630738745337,0.1586,9.298,
"    66 Maja",71.82,.1719983758250573,2.646807551028915,4.30617573803423,0.0618,9.73509,
"    67 Asia",58.11,.1849775109904178,2.421753118074397,3.7687992397787,0.2551,15.853,
"    68 Leto",122.57,.1871203845503017,2.781122636857957,4.63808189003177,0.2283,14.848,
"    69 Hesperia",138.13,.1707369982648398,2.975246145778709,5.13206979636346,0.1402,5.655,
"    70 Panopaea",122.17,.1817823655884467,2.615070236733394,4.22895670545752,0.0675,15.808,
"    71 Niobe",83.42,.1733535693659458,2.755998676712764,4.57537515251394,0.3052,35.864,
"    72 Feronia",85.90,.121079909695753,2.266204523568732,3.41159017817154,0.0636,8.097,
"    73 Klytia",44.44,.04365112923362024,2.664878642325083,4.35035158032411,0.2247,8.297,
"    74 Galatea",118.71,.2397272030877095,2.777603042211707,4.62928022724226,0.0431,17.268,
"    75 Eurydike",55.91,.3055204792426161,2.671597653462114,4.36681488775258,0.1473,5.357,
"    77 Frigga",69.25,.1304629480718025,2.669310538481113,4.3612085402287,0.1440,9.012,
"    78 Diana",120.60,.2078258643197426,2.618533781286339,4.23736108513978,0.0706,7.2991,
"    79 Eurynome",66.47,.1912611586039407,2.444877016565676,3.82290696547743,0.2618,5.978,
"    80 Sappho",78.39,.199588856940839,2.297060303198176,3.48150318762883,0.1848,14.030,
"    81 Terpsichore",119.08,.209228772674822,2.855696664237042,4.82587772258304,0.0505,10.943,
"    82 Alkmene",60.96,.218623842639836,2.764340994797359,4.59616513233313,0.2075,12.999,
"    83 Beatrix",81.37,.08217744978917862,2.432434448424448,3.79376058574487,0.0917,10.16,
"    84 Klio",79.16,.2356804114849422,2.363762562879023,3.63424312314475,0.0527,23.562,
"    85 Io",154.79,.1939750222071615,2.652816802654042,4.32084902372496,0.0666,6.875,
"    86 Semele",120.56,.2131452420616859,3.109750848770139,5.48398925015953,0.0466,16.634,
"    88 Thisbe",232,.1634796970953838,2.768764923346521,4.60720279324327,0.0671,6.042,
"    89 Julia",151.46,.1842998306806737,2.550163803622599,4.07249273323598,0.1764,11.387,
"    90 Antiope",120.07,.1653358698348228,3.14889888012234,5.58786974415432,0.0603,16.509,
"    91 Aegina",109.81,.1063781107628325,2.590310602055064,4.16903908728067,0.0426,6.025,
"    92 Undina",126.42,.1039711339977354,3.187999450483945,5.69227088314112,0.2509,15.941,
"    93 Minerva",141.55,.1399754182163908,2.75697303346157,4.57780173658539,0.0733,5.982,
"    94 Aurora",204.89,.09231458793597162,3.160031953553738,5.61753016875329,0.0395,7.22,
"    95 Arethusa",136.04,.1524500274782926,3.064565418165714,5.36489895943845,0.0698,8.705,
"    96 Aegle",170.02,.1393378799567308,3.050725781199173,5.32859803875279,0.0523,13.82,
"    97 Klotho",82.83,.2549830074401464,2.672063002093242,4.36795587906978,0.2285,35.15,
"    98 Ianthe",104.45,.185864154250661,2.68839077552125,4.40805289366458,0.0471,16.479,
"    99 Dike",69.04,.1949069908660643,2.66504248392441,4.35075278781515,0.0627,18.127,
"   100 Hekate",88.66,.1684446508233893,3.089617453340748,5.43081822727516,0.1922,27.066,
"   101 Helena",65.84,.1397657058917963,2.584795842235238,4.15573237737394,0.1898,23.080,
"   102 Miriam",83.00,.2529811723649266,2.66100556456684,4.34087096489761,0.0507,23.613,
"   103 Hera",91.20,.08120337899062756,2.70108575633916,4.43931294627911,0.1833,23.740,
"   104 Klymene",123.68,.1577475869990367,3.152564269943941,5.59762919379333,0.0568,8.984,
"   105 Artemis",119.08,.1778197104057374,2.373188964740593,3.65600417143055,0.0465,37.15506,
"   106 Dione",146.59,.1665341597926643,3.17450878226711,5.65617713177331,0.0893,16.26,
"   109 Felicitas",89.44,.2967393849763418,2.696837694443924,4.42884434524404,0.0699,13.191,
"   110 Lydia",86.09,.08102111103296512,2.732547981084575,4.51710199601501,0.1808,10.927,
"   111 Ate",134.55,.1033204462744248,2.593488820515226,4.17671433315773,0.0605,22.072,
"   112 Iphigenia",72.18,.1281348222124751,2.434153258112295,3.79778242335832,0.0393,31.466,
"   113 Amalthea",46.14,.08665070931525644,2.375980319277203,3.66245637829905,0.2649,9.950,
"   114 Kassandra",99.65,.1353281996133933,2.678248569409519,4.38313174613663,0.0884,10.7431,
"   115 Thyra",79.83,.1918827092523219,2.380770270879352,3.67353716922995,0.2747,7.241,
"   116 Sirona",71.70,.142440652828266,2.767412854481283,4.60382845752976,0.2560,12.028,
"   117 Lomia",148.71,.02804530438778614,2.992010062227762,5.17550552895892,0.0528,9.127,
"   118 Peitho",41.73,.1631512870737208,2.437569330544549,3.80577989668559,0.2240,7.8055,
"   119 Althaea",57.30,.08062326915947901,2.581472495504111,4.1477202362485,0.2306,11.484,
"   120 Lachesis",174.10,.05252838547867737,3.117670964355336,5.50495305440283,0.0463,46.551,
"   123 Brunhild",47.97,.1190747311762108,2.697100080486392,4.4294907107305,0.2134,10.04,
"   124 Alkeste",76.36,.07549116011046676,2.63021552726056,4.26574812104703,0.1728,9.921,
"   125 Liberatrix",43.58,.07765088710771502,2.743910094095518,4.54530487044921,0.2253,3.968,
"   126 Velleda",44.82,.1062095128221392,2.438720795773486,3.80847689117461,0.1723,5.3672,
"   127 Johanna",122,.06704082317896998,2.756150573786301,4.57575341594228,,12.7988,
"   128 Nemesis",188.16,.1268534891690286,2.749461882131922,4.55910670527097,0.0504,77.81,
"   129 Antigone",113,.2114507649156484,2.870381060630892,4.86314855249265,0.164,4.9572,
"   130 Elektra",182.25,.2079854828620705,3.128916755522102,5.53476537897472,0.0755,5.225,
"   131 Vala",40.44,.06823298103592379,2.431981027944079,3.79269986533161,0.1051,5.1812,
"   133 Cyrene",66.57,.1363298515671397,3.064902632166659,5.36578448571817,0.2563,12.708,
"   134 Sophrosyne",108,.116992265439205,2.562953345429317,4.10316756628705,0.0364,17.196,
"   135 Hertha",79.24,.2078026189079583,2.427738992989431,3.78278094693821,0.1436,8.403,
"   136 Austria",40.14,.08467975855592004,2.286570496507404,3.45768236978088,0.1459,11.4969,
"   137 Meliboea",145.42,.214651017010013,3.12402113132977,5.52178059938875,0.0503,25.676,
"   138 Tolosa",45.50,.162287954353732,2.448868982871465,3.83227378237219,0.2699,10.101,
"   139 Juewa",156.60,.1755344335805824,2.780728536219835,4.6370960617271,0.0557,20.991,
"   140 Siwa",109.79,.2157471961355903,2.732825748016197,4.51779076714817,0.0676,34.445,
